ToDo ID,カテゴリ,小分類,ToDo項目,詳細説明
T01,応募書類作成・提出,内容準備,自己PR作成,企業に合わせてアピールポイントを調整。ストーリー性と具体性を意識して構成する。
T02,応募書類作成・提出,内容準備,志望動機作成,企業の理念や事業内容への共感ポイントを明確にし、自分との接点を論理的に記述。
T03,応募書類作成・提出,内容準備,ES設問回答,設問ごとに構造化し、具体例や数字を用いて明確に回答する。
T04,応募書類作成・提出,内容準備,内容添削依頼,信頼できる第三者やAIを活用し、表現や構成の改善点を見つける。
T05,応募書類作成・提出,手続き・提出,フォーマット設定,企業指定の形式やフォーマットに正確に従い、見やすく整える。
T06,応募書類作成・提出,手続き・提出,学歴・職歴記入,正確かつ事実に基づいて記載。誤字や漏れがないように注意。
T07,応募書類作成・提出,手続き・提出,誤字脱字チェック,ESや応募書類全体の誤字・脱字・表現ミスを徹底的に見直す。
T08,応募書類作成・提出,手続き・提出,PDFファイル作成,ファイル名やデータ形式を指定通りに設定し、容量も確認する。
T09,応募書類作成・提出,手続き・提出,オンライン応募確認,アップロード後のプレビューで表示崩れやファイルミスを確認する。
T10,応募書類作成・提出,手続き・提出,郵送応募準備,クリアファイルに挟んで封筒へ封入。宛先や切手も正確に。
T11,応募書類作成・提出,手続き・提出,書類コピー保管,送付済みの書類の控えを手元に残しておく。
T12,応募書類作成・提出,手続き・提出,応募完了メール保存,応募後の完了通知メールをフォルダに整理して保存する。
T13,企業研究,情報収集,最新ニュース・IR情報チェック,企業サイトやIR資料を定期的に確認し、直近の動きを把握する。
T14,企業研究,情報収集,競合他社情報収集,同業他社と比較し、強み・差別化ポイントを分析する。
T15,企業研究,情報収集,社員インタビュー・ブログ閲覧,社風や職場環境、求める人物像について実体験を得る。
T16,企業研究,情報収集,企業SNSフォロー,企業の最新情報や文化をSNSからキャッチアップする。
T17,企業研究,情報収集,製品・サービス利用,実際に体験し、ユーザー視点で感想を持つ。
T18,企業研究,インプット整理,企業イベント・セミナー参加,実際に社員と接する機会を活かして理解を深める。
T19,企業研究,インプット整理,動画・資料視聴,採用動画や会社紹介資料から情報を整理する。
T20,企業研究,インプット整理,MVV（理念・価値観）読み込み,企業の価値観・ビジョンに共感できるポイントを見つける。
T21,企業研究,アウトプット,自分との接点の言語化,企業の何に惹かれたか、自分の経験との接点を文章化。
T22,企業研究,アウトプット,研究ノート・分析レポート作成,情報をまとめ、自己理解と志望動機に反映させる。
T23,企業研究,アウトプット,質問リスト作成,OB訪問や面接で聞きたいことを事前に整理する。
T24,選考対策,筆記試験,筆記・Webテスト対策,問題集や模擬試験を通じて出題傾向と対策を行う。
T25,選考対策,面接準備,面接質問回答準備,よく聞かれる質問と、自分ならではの答えを整理する。
T26,選考対策,面接準備,時間別PR・志望動機準備,30秒/1分/3分など、時間に応じた伝え方を練習。
T27,選考対策,面接準備,話し方・表情・姿勢練習,鏡や動画撮影で見直しながら練習する。
T28,選考対策,面接準備,模擬面接実施,第三者との実戦形式で改善点をフィードバック。
T29,選考対策,面接準備,録音・録画による振り返り,自分の話し方・癖・表情を客観視する。
T30,選考対策,面接直前,面接会場経路確認,当日の遅刻を防ぐため、事前に下見またはルート確認。
T31,選考対策,面接直前,面接当日準備,持ち物・服装・緊張対策など最終確認。
T32,選考対策,面接後,お礼状・メール送付,面接後に感謝を伝えることで印象を強化。
T33,選考対策,面接後,逆質問ブラッシュアップ,面接フェーズごとに深みある逆質問を練る。
T34,OB・OG訪問,準備,紹介依頼・アポ調整,キャリアセンターや訪問サービスを活用し、訪問先を探す。
T35,OB・OG訪問,準備,質問内容事前整理,目的や知りたいことを明確にしてから訪問する。
T36,OB・OG訪問,実施・記録,情報メモ,聞いたことを即メモし、後から整理して活用。
T37,OB・OG訪問,実施・記録,お礼メール送付,訪問後は感謝の意を丁寧に伝える。
T38,OB・OG訪問,実施・記録,志望動機反映メモ作成,得た情報をもとに企業理解や志望動機に反映。
T39,スケジュール管理,記録・可視化,締め切り・選考日程登録,応募・面接・試験などの期限をカレンダーに登録する。
T40,スケジュール管理,記録・可視化,選考結果・フィードバック記録,通過/不通過とその理由を記録し、改善に活かす。
T41,スケジュール管理,記録・可視化,ToDo進捗の可視化,応募企業ごとの準備進行状況を一覧で管理。
T42,スケジュール管理,前日確認,当日リマインド・体調管理,前日に持ち物・服装・健康状態を再確認する。
T43,スケジュール管理,心理的安定,休憩・リフレッシュ時間確保,ストレスを溜めすぎず、計画的に休憩する。
